Hero,Degree,Betweenness,Closeness,PageRank,Community,Role
"LITTLE, ABNER",0.0034241245136186773,8.922959870822107e-07,0.3761584002364183,8.288014587906453e-05,0,Other
PRINCESS ZANDA,0.0017120622568093386,6.742500623124392e-08,0.3733448505823388,5.065310572880491e-05,21,Other
BLACK PANTHER/T'CHAL,0.11066147859922179,0.007675402065237133,0.5200268946781348,0.0017493597152297067,0,Other
"STEELE, SIMON/WOLFGA",0.0014007782101167316,5.99585775320722e-06,0.38285297387437467,5.1163920400362016e-05,21,Other
"FORTUNE, DOMINIC",0.002334630350194553,8.293694260425806e-06,0.3966629681514599,6.643742567693096e-05,21,Other
"ERWIN, CLYTEMNESTRA",0.009494163424124515,1.839724042524422e-05,0.39480012531765213,0.00017080012540571614,0,Other
IRON MAN/TONY STARK ,0.23688715953307396,0.03198382182236345,0.5614279813721937,0.004109302113256796,0,Core Hub
IRON MAN IV/JAMES R.,0.07237354085603113,0.004980314947812393,0.4931344881148166,0.0013071958575823967,0,Other
"RAVEN, SABBATH II/EL",0.0017120622568093386,7.3857744211442674e-06,0.38585882522137727,5.628951324164852e-05,21,Other
CARNIVORE/COUNT ANDR,0.007003891050583658,3.507930970131831e-05,0.42011115386740955,0.00013458978070124026,0,Other
GHOST,0.005447470817120623,1.4342622902279947e-05,0.40291671993539535,0.00011104922116335196,0,Other
"ZIMMER, ABE",0.011206225680933853,3.111712338828107e-05,0.4077770250201407,0.00021291894585775828,0,Other
FU MANCHU,0.006536964980544747,0.00038611126030983653,0.4021052569712105,0.0001578075630158862,21,Other
"TARR, BLACK JACK",0.004669260700389106,0.00018880924428271104,0.3775365140941656,0.00013683620354740678,2,Other
"SMITH, SIR DENIS NAY",0.004357976653696498,8.389225770581318e-05,0.3774919012121456,0.00012607691432479839,2,Other
SHANG-CHI,0.019766536964980545,0.003488936770533711,0.46871472584664103,0.00045198960734349486,2,Other
